trail_id,count
13359,86
205010,67
16783,53
203010,48
12034,47
20405,42
196166,37
205009,37
14057,36
161650,36
134189,35
196173,35
1141,32
178037,31
12819,31
1514,30
1510,29
55589,28
184530,28
1515,28
205011,26
57141,26
72005,26
8665,26
1520,25
196131,25
48489,25
196171,24
196141,24
151834,24
215097,24
30468,24
11478,24
20403,24
13612,23
12243,23
1511,22
12802,22
12159,22
80540,22
91564,22
207716,22
109909,22
131774,21
48488,21
212181,21
30014,21
81454,21
202869,21
40306,20
50986,20
183604,20
196137,20
136456,20
118676,20
1517,20
43321,20
14948,20
1522,20
90895,20
184520,20
56,20
196132,20
108883,20
29710,19
196167,19
172627,19
13660,19
111472,19
29252,19
10871,19
187082,19
203646,19
108600,19
168565,19
160001,19
168344,19
12825,18
1518,18
24548,18
12841,18
178036,18
178034,18
196151,18
196143,18
158156,18
196135,18
46037,18
30549,18
12773,18
127484,18
134545,17
109291,17
13344,17
110716,17
20483,17
131848,17
101133,17
26137,17
205768,17
34307,17
40842,17
43604,17
845,17
216097,17
118086,17
196161,17
12782,17
30430,17
2331,17
171888,17
46581,17
196140,17
43065,17
55137,17
136024,17
69150,17
208703,16
1519,16
151632,16
20401,16
108644,16
173028,16
196156,16
92659,16
46291,16
158860,16
90778,16
2535,16
14226,16
152200,16
22973,16
77786,16
15994,16
2542,16
171886,16
73595,16
171884,16
90513,16
100005,16
12450,16
117063,16
103176,16
195099,16
53890,16
45122,15
49536,15
212201,15
159914,15
57990,15
54735,15
92654,15
181293,15
192966,15
44878,15
159880,15
20443,15
12742,15
122862,15
17597,15
110798,15
206271,15
180565,15
104566,15
97777,15
186263,15
14193,15
162130,15
89763,15
188645,15
132734,15
43827,15
55140,15
159888,15
18019,15
194312,15
180229,15
21542,15
191724,15
14879,15
136786,15
137508,15
26015,14
97775,14
200911,14
209382,14
30462,14
105129,14
90780,14
98107,14
12790,14
184628,14
118079,14
113382,14
182743,14
165220,14
211695,14
20432,14
46905,14
20522,14
196165,14
196154,14
196150,14
101055,14
30683,14
69018,14
46137,14
209749,14
55523,14
82554,14
99845,14
117070,14
30013,14
28510,14
193052,14
27466,14
112451,14
26006,14
169089,14
156633,14
77408,14
159900,14
108975,14
14896,14
122832,14
13349,14
13568,14
196375,14
159879,14
167340,14
32090,14
53280,14
63637,14
11782,14
211715,14
35027,14
137715,14
81151,13
176811,13
1143,13
184770,13
94507,13
43323,13
69757,13
195520,13
95880,13
174705,13
174706,13
82351,13
39242,13
14920,13
164235,13
209748,13
16003,13
16008,13
64355,13
104828,13
12761,13
12779,13
188319,13
109081,13
201651,13
69886,13
13453,13
55588,13
14306,13
178033,13
90566,13
58508,13
92655,13
1653,13
110049,13
161348,13
99415,13
161436,13
198475,13
78101,13
93435,13
152734,13
134392,13
147159,13
196134,13
27465,13
103443,13
144571,13
17980,13
15910,13
27460,13
83909,13
53400,13
155498,13
27461,13
213027,13
81410,13
20468,13
141115,13
118081,13
19579,13
60597,13
211510,13
15840,13
23003,13
186105,12
105425,12
120577,12
131471,12
109262,12
27469,12
171170,12
203051,12
211879,12
68043,12
182291,12
48684,12
48809,12
143852,12
135535,12
91592,12
91562,12
128570,12
19204,12
63635,12
184521,12
184522,12
21859,12
99190,12
74731,12
65896,12
13392,12
185956,12
126486,12
112714,12
67910,12
51879,12
78352,12
110363,12
67931,12
83991,12
32430,12
18889,12
101441,12
24347,12
66064,12
133563,12
71635,12
133557,12
194940,12
47920,12
165448,12
1512,12
37042,12
47353,12
183734,12
55522,12
43615,12
43610,12
47027,12
25549,12
205435,12
171896,12
131229,12
48820,12
89948,12
94873,12
41188,12
119195,12
90893,12
8704,12
110911,12
3132,12
93274,12
113664,12
45299,12
109551,12
42691,12
131065,12
12769,12
34909,12
57012,12
93496,12
211976,12
207619,12
91524,12
196271,12
47711,12
80682,12
95340,12
66060,12
43617,12
25543,12
112181,12
108874,12
195102,12
191676,12
29764,12
191675,12
110048,12
21635,12
144017,12
109108,12
215220,12
23458,12
202867,12
28421,12
46906,12
213877,12
78871,12
147303,12
12806,12
34690,12
182333,12
1591,12
81946,12
210361,12
92661,12
209667,12
110778,12
156694,12
92480,12
80874,12
11479,12
57985,12
138218,12
189169,12
136023,11
184505,11
216153,11
57,11
90560,11
66272,11
115326,11
45776,11
40694,11
30,11
144409,11
93522,11
98005,11
117920,11
181290,11
93521,11
207783,11
20467,11
21284,11
205565,11
113426,11
72910,11
207510,11
122841,11
107653,11
115141,11
15457,11
78974,11
196869,11
87300,11
46559,11
20472,11
44914,11
4694,11
91566,11
179958,11
31728,11
12246,11
211703,11
183344,11
1142,11
159809,11
192435,11
207746,11
141538,11
196170,11
12768,11
13329,11
27942,11
209969,11
137611,11
68141,11
68140,11
25542,11
160288,11
110626,11
185112,11
41683,11
77816,11
120215,11
174087,11
45787,11
711,11
115324,11
113859,11
143864,11
49937,11
113756,11
27688,11
152912,11
206314,11
180548,11
147323,11
144406,11
41187,11
4208,11
168462,11
119422,11
193103,11
119454,11
23093,11
215135,11
13692,11
138644,11
66062,11
12451,11
132240,11
125246,11
185668,11
124866,11
4341,11
108884,11
109263,11
34057,11
47035,11
135053,11
131221,11
147164,11
43623,11
119438,11
55139,11
15993,11
29253,11
76525,11
153069,11
52159,11
43633,11
137173,11
30141,11
132171,11
134114,11
54172,11
153257,11
42523,11
20456,11
95886,11
208964,11
178319,11
16823,11
117539,11
77216,11
49689,11
15445,11
132110,11
93406,11
46926,11
151835,11
55138,11
54160,11
180704,11
112521,11
60400,11
154175,11
133160,11
76370,11
178860,11
83682,11
144602,11
30550,11
141029,11
124760,11
109826,11
18014,11
3445,11
14213,11
42634,11
18021,11
8494,11
199300,11
12788,11
12840,11
27419,11
104261,11
189037,11
204990,11
132176,11
187435,11
10436,11
13399,11
20473,11
185234,11
156937,11
134666,11
44450,11
176808,11
184533,11
31866,11
74177,11
53776,11
120186,10
98240,10
98252,10
83286,10
29778,10
191725,10
114035,10
100217,10
136025,10
180233,10
19278,10
184525,10
19162,10
184573,10
197039,10
94385,10
44912,10
36613,10
59345,10
42276,10
42277,10
200988,10
34970,10
131963,10
207782,10
91468,10
119717,10
80393,10
79927,10
90712,10
80739,10
56001,10
1662,10
20502,10
87228,10
103174,10
1164,10
139138,10
196450,10
133907,10
115145,10
117955,10
28845,10
41300,10
197421,10
94883,10
127552,10
196144,10
202868,10
180016,10
251,10
44445,10
137671,10
1712,10
138515,10
44166,10
189267,10
117067,10
131144,10
12834,10
73090,10
136201,10
165471,10
79291,10
54244,10
99832,10
23148,10
122647,10
14052,10
157369,10
12751,10
54940,10
115320,10
67928,10
67929,10
67930,10
168589,10
17601,10
54147,10
54426,10
82480,10
209753,10
109819,10
18032,10
18009,10
49926,10
2527,10
183140,10
113675,10
117949,10
119307,10
80932,10
80885,10
82419,10
139516,10
4899,10
80857,10
90892,10
24546,10
12824,10
75182,10
100499,10
12810,10
47309,10
152001,10
90900,10
34756,10
118016,10
112398,10
213010,10
65987,10
14881,10
122856,10
121898,10
208132,10
208169,10
205240,10
29937,10
147166,10
120607,10
199833,10
185390,10
30428,10
11537,10
24361,10
68731,10
93432,10
144527,10
175893,10
18091,10
168490,10
195055,10
171889,10
142593,10
163982,10
135347,10
117117,10
6838,10
32827,10
20449,10
210642,10
14003,10
93413,10
18888,10
74494,10
36505,10
94875,10
3291,10
34390,10
16779,10
131209,10
21638,10
109083,10
182354,10
12344,10
12265,10
13967,10
23683,10
53397,10
20477,10
80977,10
80990,10
16242,10
77716,10
199838,10
105136,10
120222,10
112147,10
192970,10
43969,10
122850,10
70641,10
211056,10
30432,10
13581,10
640,10
201262,10
92657,10
118099,10
118083,10
109668,10
191709,10
133848,10
109904,10
160607,10
135789,10
93499,10
149410,10
93437,10
167567,10
11980,10
2538,10
58460,10
47333,10
2547,10
145231,10
48782,10
14701,10
12805,10
199355,10
76227,10
104259,10
155437,10
80684,10
126899,10
67616,10
131909,10
38466,10
104269,10
118089,10
34691,10
108360,10
81997,10
138164,10
184566,10
267,10
184513,10
180227,10
159876,10
26445,10
200302,10
212915,10
90557,10
120225,10
111585,10
184629,10
43858,10
43863,10
13582,10
184514,10
20495,10
112668,10
16066,10
3219,10
115327,10
80863,10
206363,10
216119,10
